authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Clapham","M. Clapham",,54730,P.,Cifuentes-Ruiz,"F. J.",Vega,"S. R. S. Cevallos-Ferriz, E. González-Soriano, S. Zaragoza-Caballero, L. Garibayromero",2007,"Oligocene scorpion and insects (Plecoptera and Coleoptera) from the Los Ahuehuetes locality, Puebla, Mexico",Ameghiniana,,44,,673,679,"journal article","stated with evidence",English,,,,,"2015-03-25 21:05:40","2015-03-25 21:05:40"
"M. Clapham","J. Karr",,37033,"T. D. A.",Cockerell,,,,1906,"Fossil Saw-flies from Florissant Colorado","Bulletin of the American Museum of Natural History",,22,,499,501,"journal article","stated with evidence",English,,,,,"2011-08-10 10:06:16","2011-08-09 19:06:16"
"C. Labandeira","C. Labandeira","J. Karr",4995,"T. D. A.",Cockerell,,,,1907,"A New Fly (Mycetophilidae) from the Green River Beds","American Journal of Science, Series 4",,23,,285,286,"journal article","stated with evidence",English,,"ETE reference number 707",ETE,707,"2002-03-04 16:40:45","2012-07-07 22:35:56"
"C. Labandeira","C. Labandeira","J. Alroy",5023,"T. D. A.",Cockerell,,,,1907,"Some Old World types of insects in the Miocene of Colorado",Science,,26,666,446,447,"journal article","stated with evidence",English,,"ETE reference number 735",ETE,735,"2002-03-04 16:40:45","2011-03-15 01:51:38"
"M. Clapham","J. Karr","M. Clapham",37038,"T. D. A.",Cockerell,,,,1907,"Fossil Dragonflies from Florissant Colorado","Bulletin of the American Museum of Natural History",,23,,133,139,"journal article","stated with evidence",English,,,,,"2011-08-10 13:22:06","2013-02-24 23:03:00"
"M. Clapham","M. Clapham",,48774,"T. D. A.",Cockerell,,,,1907,"A fossil caterpillar","The Canadian Entomologist",,39,,187,188,"journal article","stated with evidence",English,,,,,"2013-11-05 22:16:59","2013-11-05 22:16:59"
"M. Clapham","M. Clapham",,48893,"T. D. A.",Cockerell,,,,1907,"A fossil tortricid moth","The Canadian Entomologist",,39,,416,,"journal article","stated with evidence",English,,,,,"2013-11-10 21:51:20","2013-11-10 21:51:20"
"M. Clapham","M. Clapham",,49104,"T. D. A.",Cockerell,,,,1907,"A Miocene wasp",Nature,,77,,80,,"journal article","stated with evidence",English,,,,,"2013-11-24 21:34:49","2013-11-24 21:34:49"
"M. Clapham","M. Clapham",,49151,"T. D. A.",Cockerell,,,,1907,"Some fossil arthropods from Florissant, Colorado","Bulletin of the American Museum of Natural History",,23,,605,616,"journal article","stated with evidence",English,,,,,"2013-11-26 23:42:18","2013-11-26 23:42:18"
"C. Labandeira","C. Labandeira","J. Karr",4996,"T. D. A.",Cockerell,,,,1908,"Descriptions and records of bees. XX","The Annals and Magazine of Natural History, Eighth Series",,2,,323,334,"journal article","stated with evidence",English,,"ETE reference number 708",ETE,708,"2002-03-04 16:40:45","2012-06-28 18:45:16"
"C. Labandeira","C. Labandeira","J. Alroy",5024,"T. D. A.",Cockerell,,,,1908,"The first American fossil Mantis","The Canadian Entomologist",,XL,,343,344,"journal article","stated with evidence",English,,"ETE reference number 736",ETE,736,"2002-03-04 16:40:45","2011-03-16 01:19:27"
"M. Clapham","J. Karr","J. Karr",37044,"T. D. A.",Cockerell,,,,1908,"Fossil Insects from Florissant, Colorado","Bulletin of the American Museum of Natural History",,24,,59,69,"journal article","stated with evidence",English,,,,,"2011-08-10 14:25:01","2011-08-09 23:25:45"
